Assembly,Partners,PartnerWeight,EdgeWeight,Predecessor,Successor
EXT - Unknown,N/A,0,0,N/A,N/A
EXT - Swagelok,N/A,0,0,N/A,N/A
EXT - M10,N/A,0,0,N/A,N/A
EXT- Siltrax,N/A,0,0,N/A,N/A
EXT - External Supplier (TBA),N/A,0,0,N/A,N/A
EXT - Bosch,N/A,0,0,N/A,N/A
EXT - Corning,N/A,0,0,N/A,N/A
EXT -  Sundrive,N/A,0,0,N/A,N/A
EXT - REOO,N/A,0,0,N/A,N/A
EXT - Adlink,N/A,0,0,N/A,N/A
EXT - Ricardo,N/A,0,0,N/A,N/A
EXT - Bride Racing,N/A,0,0,N/A,N/A
EXT - Beswick,N/A,0,0,N/A,N/A
EXT - Coregas,N/A,0,0,N/A,N/A
EXT - Colan,N/A,0,0,N/A,N/A
EXT - Scott Bader,N/A,0,0,N/A,N/A
EXT - Calm Aluminium,N/A,0,0,N/A,N/A
EXT - McConaghy,N/A,0,0,N/A,N/A
EXT - Espresso Conversation,N/A,0,0,N/A,N/A
EXT - Stallibus,N/A,0,0,N/A,N/A
EXT - Chevalier,N/A,0,0,N/A,N/A
EXT - Espresso,N/A,0,0,N/A,N/A
EXT - PWR,N/A,0,0,N/A,N/A
EXT - Autofrost,N/A,0,0,N/A,N/A
EXT - Divergent,N/A,0,0,N/A,N/A
EXT - Sunswift,N/A,0,0,N/A,N/A
ASSY - OCCUPANT CELL SPIDER,"McConaghy, Scott Bader, Colan",2,5,"ASSY - SOLAR ROOF ARRAY, ASSY - DOOR SHELL - LH, ASSY - DOOR SHELL - RH","ASSY - WINDSCREEN, ASSY - CEILING, ASSY - DOOR CARD - LH, ASSY - WINDSCREEN WIPER AERO GUARD"
